Fullname, Course, Score, Experience, StudyMode, StudyPattern
Justin Walker,Doctor of Dental Surgery (D.D.S.),57,,on-campus,
Gary Hopkins,Doctor of Physical Therapy (D.P.T.),86,dentistry,on-campus,FT
Cody Henry,Master of Health Administration (M.H.A.),55,surgery,on-campus,
Danielle Chase,Doctor of Optometry (O.D.),86,,,PT
Melissa Thompson,Doctor of Optometry (O.D.),68,nutrition,online,
Pamela Richardson,Doctor of Pharmacy (Pharm.D.),81,,,PT
Jasmine Bean,Doctor of Osteopathic Medicine (D.O.),52,immunology,,FT
Shelby Mcdonald,Master of Health Administration (M.H.A.),97,surgery,,PT
Maria Greene,Doctor of Dental Surgery (D.D.S.),80,surgery,on-campus,PT
Noah Bell,Master of Public Health (M.P.H.),86,immunology,on-campus,FT
Barbara Johnson,Doctor of Veterinary Medicine (D.V.M.),59,immunology,on-campus,PT
Brett Tapia,Doctor of Osteopathic Medicine (D.O.),82,physiotherapy,online,
Michelle Estrada,Doctor of Veterinary Medicine (D.V.M.),55,nursing,on-campus,PT
Christopher Price,Doctor of Podiatric Medicine (D.P.M.),50,surgery,on-campus,PT
Antonio Gray,Doctor of Dental Surgery (D.D.S.),98,dentistry,,FT
Roy Molina,Doctor of Medicine (M.D.),80,immunology,on-campus,PT
Joseph Hall,Doctor of Osteopathic Medicine (D.O.),84,surgery,online,
David Lopez,Doctor of Podiatric Medicine (D.P.M.),80,dentistry,online,
Amy Conley,Doctor of Dental Medicine (D.M.D.),50,nursing,,FT
Justin Joseph,Doctor of Osteopathic Medicine (D.O.),90,immunology,online,PT
Ray Wilkinson,Doctor of Chiropractic (D.C.),58,nutrition,online,FT
Leonard Boyer,Doctor of Medicine (M.D.),66,immunology,online,
Dale Berry,Doctor of Chiropractic (D.C.),73,immunology,online,PT
Dennis Strong,Master of Public Health (M.P.H.),53,dentistry,,
Brett Ball,Doctor of Pharmacy (Pharm.D.),54,physiotherapy,online,FT
Melanie Thomas,Doctor of Podiatric Medicine (D.P.M.),88,,on-campus,
Amanda Harrison,Doctor of Podiatric Medicine (D.P.M.),99,dentistry,,
Deborah Mccann,Doctor of Dental Medicine (D.M.D.),57,,on-campus,
Shannon Oneal,Doctor of Dental Surgery (D.D.S.),82,nutrition,,FT
Tiffany Jones,Bachelor of Science in Biomedical Science (B.S.),94,,on-campus,PT
Michael Bowman,Doctor of Veterinary Medicine (D.V.M.),84,nutrition,on-campus,FT
Mr. William Hawkins,Master of Public Health (M.P.H.),75,,,PT
Christopher Callahan,Doctor of Optometry (O.D.),51,nursing,on-campus,
Jessica Rivera,Doctor of Optometry (O.D.),85,surgery,on-campus,
Pamela Miller,Doctor of Pharmacy (Pharm.D.),58,nutrition,on-campus,PT
John Rodriguez,Doctor of Medicine (M.D.),93,surgery,on-campus,PT
Misty Gonzalez,Doctor of Dental Medicine (D.M.D.),70,surgery,online,PT
Kyle Proctor,Master of Health Administration (M.H.A.),83,dentistry,on-campus,
Michelle Brown,Doctor of Pharmacy (Pharm.D.),73,dentistry,online,
William Burton,Doctor of Nursing Practice (D.N.P.),82,physiotherapy,online,FT
Felicia Knox,Doctor of Pharmacy (Pharm.D.),90,,online,
Elizabeth Bowen,Bachelor of Science in Biomedical Science (B.S.),75,physiotherapy,online,PT
Mrs. Rebecca Hall,Doctor of Pharmacy (Pharm.D.),52,nutrition,on-campus,
Robert Obrien,Doctor of Chiropractic (D.C.),82,immunology,,PT
Christine Boone,Doctor of Dental Medicine (D.M.D.),88,dentistry,online,PT
Donna Carter,Doctor of Pharmacy (Pharm.D.),62,surgery,,
John Fritz,Doctor of Dental Medicine (D.M.D.),68,,on-campus,
Elizabeth Underwood DDS,Doctor of Medicine (M.D.),88,dentistry,,FT
Benjamin White,Doctor of Optometry (O.D.),63,nutrition,on-campus,PT
Elizabeth Gutierrez,Doctor of Osteopathic Medicine (D.O.),52,physiotherapy,,
Matthew Chen,Doctor of Dental Surgery (D.D.S.),66,surgery,on-campus,FT
Nicole Caldwell,Doctor of Medicine (M.D.),55,surgery,online,FT
Brandon Baker,Bachelor of Science in Biomedical Science (B.S.),92,surgery,,
Caroline Fox,Doctor of Physical Therapy (D.P.T.),82,nutrition,online,PT
Andrew Adams,Doctor of Medicine (M.D.),71,dentistry,online,PT
James Baker,Master of Public Health (M.P.H.),60,physiotherapy,,FT
Robert Cantu,Master of Health Administration (M.H.A.),79,nursing,,
Jill Stein,Doctor of Optometry (O.D.),74,,,PT
Glenda Smith,Doctor of Dental Surgery (D.D.S.),89,immunology,,
Joy Walker,Doctor of Optometry (O.D.),82,immunology,,
Nancy Duarte,Doctor of Dental Surgery (D.D.S.),91,surgery,online,FT
Anthony Bowman,Doctor of Pharmacy (Pharm.D.),60,surgery,on-campus,PT
Lisa Hinton,Doctor of Nursing Practice (D.N.P.),72,nursing,,FT
Ryan Kennedy,Bachelor of Science in Biomedical Science (B.S.),56,immunology,online,FT
Megan Khan,Doctor of Chiropractic (D.C.),75,immunology,on-campus,PT
April Stevenson,Doctor of Medicine (M.D.),53,physiotherapy,on-campus,FT
Marisa Cohen,Doctor of Veterinary Medicine (D.V.M.),83,dentistry,online,FT
Sara Reyes,Doctor of Osteopathic Medicine (D.O.),76,physiotherapy,online,
Traci Gallegos,Doctor of Pharmacy (Pharm.D.),98,dentistry,on-campus,FT
Mrs. Christine Brown,Doctor of Osteopathic Medicine (D.O.),69,,on-campus,FT
Tara Ramirez,Doctor of Optometry (O.D.),74,,,PT
Michael Hodges,Doctor of Veterinary Medicine (D.V.M.),70,nursing,,PT
Timothy Carson,Master of Public Health (M.P.H.),61,immunology,,FT
Anna Andrade,Doctor of Medicine (M.D.),67,immunology,online,
Lee Lopez,Doctor of Pharmacy (Pharm.D.),77,immunology,on-campus,
Michael Smith,Master of Public Health (M.P.H.),89,nutrition,,
Manuel Martin,Master of Public Health (M.P.H.),72,physiotherapy,,
Kevin Avila,Doctor of Dental Surgery (D.D.S.),100,immunology,on-campus,FT
Richard Moore,Doctor of Veterinary Medicine (D.V.M.),61,immunology,,PT
Randy Martin,Doctor of Veterinary Medicine (D.V.M.),90,physiotherapy,online,FT
David Swanson,Doctor of Osteopathic Medicine (D.O.),96,immunology,,FT
Todd Cochran,Doctor of Physical Therapy (D.P.T.),96,surgery,,PT
Garrett Oliver,Master of Public Health (M.P.H.),62,immunology,online,FT
Gina Miller,Doctor of Veterinary Medicine (D.V.M.),72,dentistry,online,PT
Kimberly Gonzalez,Doctor of Podiatric Medicine (D.P.M.),56,nursing,,
Rachel Chen,Doctor of Chiropractic (D.C.),70,physiotherapy,online,FT
Michele Hoffman,Doctor of Physical Therapy (D.P.T.),62,nursing,on-campus,PT
Spencer Rojas,Doctor of Dental Medicine (D.M.D.),53,,,PT
James Wheeler,Doctor of Physical Therapy (D.P.T.),79,nutrition,,
Alicia Page,Doctor of Podiatric Medicine (D.P.M.),79,nursing,on-campus,FT
Eric Robinson,Doctor of Dental Surgery (D.D.S.),68,,,
Ms. Jennifer Christensen,Master of Health Administration (M.H.A.),78,nutrition,online,FT
Julie Martin,Doctor of Chiropractic (D.C.),50,immunology,online,FT
Cynthia Ibarra,Master of Health Administration (M.H.A.),79,dentistry,on-campus,FT
Adam Larson,Doctor of Medicine (M.D.),77,physiotherapy,,
Jason Daniels,Bachelor of Science in Nursing (B.S.N.),56,physiotherapy,on-campus,
Seth Carrillo,Doctor of Podiatric Medicine (D.P.M.),72,surgery,,
Emma Pierce,Bachelor of Science in Biomedical Science (B.S.),79,physiotherapy,on-campus,
Jeffery Smith,Doctor of Physical Therapy (D.P.T.),74,surgery,,
Bradley Barber,Bachelor of Science in Biomedical Science (B.S.),100,physiotherapy,on-campus,PT
Alicia Williams,Bachelor of Science in Nursing (B.S.N.),89,physiotherapy,,
Bethany Arroyo,Master of Health Administration (M.H.A.),80,immunology,,PT
Alexander Merritt,Doctor of Dental Medicine (D.M.D.),69,nursing,on-campus,
Wesley Hickman,Doctor of Podiatric Medicine (D.P.M.),95,dentistry,online,
Paul Hoffman,Doctor of Dental Surgery (D.D.S.),98,surgery,on-campus,PT
Angela Thompson,Doctor of Dental Medicine (D.M.D.),67,immunology,,
Melissa Black,Doctor of Chiropractic (D.C.),73,,on-campus,
Holly Harvey,Doctor of Nursing Practice (D.N.P.),79,immunology,on-campus,FT
Charles Molina,Doctor of Podiatric Medicine (D.P.M.),63,dentistry,online,FT
Jill Sanchez,Doctor of Veterinary Medicine (D.V.M.),69,,online,
Savannah Palmer,Doctor of Medicine (M.D.),54,surgery,,FT
James Baker,Doctor of Podiatric Medicine (D.P.M.),52,,on-campus,
Heather Everett,Doctor of Optometry (O.D.),87,dentistry,on-campus,
Joseph Gallegos,Doctor of Nursing Practice (D.N.P.),80,,,FT
Nicholas Carpenter,Doctor of Dental Surgery (D.D.S.),76,dentistry,,FT
Donald Davis,Doctor of Osteopathic Medicine (D.O.),94,nutrition,online,
Timothy Johnson,Doctor of Dental Surgery (D.D.S.),50,surgery,,PT
Dwayne Lee,Doctor of Podiatric Medicine (D.P.M.),74,immunology,,FT
Frank George,Doctor of Osteopathic Medicine (D.O.),70,physiotherapy,on-campus,PT
Tyrone Coleman,Doctor of Optometry (O.D.),98,physiotherapy,,FT
Rebekah Brooks,Doctor of Physical Therapy (D.P.T.),57,dentistry,online,FT
Brandon Henry,Bachelor of Science in Nursing (B.S.N.),70,immunology,on-campus,FT
Luis Richardson,Doctor of Podiatric Medicine (D.P.M.),57,nutrition,online,PT
Christina King,Doctor of Osteopathic Medicine (D.O.),92,surgery,online,PT
Terry Rich,Doctor of Physical Therapy (D.P.T.),58,dentistry,on-campus,PT
Yesenia King,Doctor of Chiropractic (D.C.),58,immunology,online,PT
Katherine Bentley,Doctor of Physical Therapy (D.P.T.),80,nursing,,
Austin Harris,Doctor of Nursing Practice (D.N.P.),87,dentistry,online,FT
Antonio Alvarez,Doctor of Veterinary Medicine (D.V.M.),64,immunology,on-campus,PT
Gilbert Harris,Doctor of Osteopathic Medicine (D.O.),50,surgery,online,PT
Jennifer Larson,Doctor of Osteopathic Medicine (D.O.),92,,,FT
Sara Carlson,Bachelor of Science in Nursing (B.S.N.),65,nutrition,,
Stacy Miller,Doctor of Pharmacy (Pharm.D.),87,,online,
Jay Lopez,Doctor of Dental Medicine (D.M.D.),79,dentistry,on-campus,
Robert Moore,Doctor of Dental Medicine (D.M.D.),98,nutrition,,FT
Stephanie Bean,Doctor of Nursing Practice (D.N.P.),76,physiotherapy,,FT
Samantha Luna,Doctor of Osteopathic Medicine (D.O.),60,immunology,on-campus,PT
Sara Howell,Doctor of Chiropractic (D.C.),83,,on-campus,PT
Keith Reed,Master of Health Administration (M.H.A.),89,surgery,online,
Martin Smith,Doctor of Chiropractic (D.C.),95,nursing,,FT
Zachary Hooper,Doctor of Physical Therapy (D.P.T.),95,dentistry,online,PT
Amy Franklin,Doctor of Optometry (O.D.),88,nutrition,,FT
Rebecca Mueller,Bachelor of Science in Biomedical Science (B.S.),95,nutrition,,FT
Alison Townsend,Doctor of Physical Therapy (D.P.T.),60,surgery,,PT
Maria King,Doctor of Podiatric Medicine (D.P.M.),77,nursing,online,FT
Susan Perry,Doctor of Veterinary Medicine (D.V.M.),75,physiotherapy,online,FT
Marco Nichols,Doctor of Podiatric Medicine (D.P.M.),65,dentistry,online,FT
Stephanie Gomez,Doctor of Osteopathic Medicine (D.O.),84,dentistry,online,PT
Candice Jordan,Doctor of Dental Surgery (D.D.S.),63,dentistry,on-campus,
David Hamilton,Doctor of Dental Medicine (D.M.D.),98,dentistry,,PT
Cindy Kramer,Doctor of Dental Medicine (D.M.D.),58,surgery,,
Edward Meyer MD,Doctor of Chiropractic (D.C.),86,,online,
Mark Hutchinson,Doctor of Dental Surgery (D.D.S.),57,immunology,,
Richard Russo,Doctor of Physical Therapy (D.P.T.),81,nutrition,on-campus,PT
Meghan Woodard,Master of Public Health (M.P.H.),62,nutrition,,PT
Jason Shaffer,Doctor of Dental Medicine (D.M.D.),71,nursing,on-campus,
Samantha Edwards,Doctor of Osteopathic Medicine (D.O.),77,,online,
Darryl Wilson,Doctor of Chiropractic (D.C.),74,nursing,on-campus,
Sarah Bell,Doctor of Medicine (M.D.),54,nutrition,online,PT
Diana Maddox,Doctor of Dental Medicine (D.M.D.),76,dentistry,,PT
Rachel Moreno,Bachelor of Science in Biomedical Science (B.S.),89,,online,PT
Veronica Robles,Doctor of Physical Therapy (D.P.T.),100,dentistry,on-campus,PT
Madison Mcfarland,Doctor of Osteopathic Medicine (D.O.),68,surgery,on-campus,PT
Mr. William Mccall,Master of Health Administration (M.H.A.),64,nursing,on-campus,FT
Jamie Flores,Doctor of Podiatric Medicine (D.P.M.),54,immunology,,PT
Jessica Thompson,Doctor of Medicine (M.D.),91,nursing,on-campus,FT
James Ellis,Doctor of Osteopathic Medicine (D.O.),57,physiotherapy,,
James Faulkner,Doctor of Veterinary Medicine (D.V.M.),59,dentistry,on-campus,
Marvin Russo,Doctor of Dental Medicine (D.M.D.),67,nutrition,online,FT
Alexander Bowman,Doctor of Optometry (O.D.),51,surgery,online,
Jennifer Smith,Master of Health Administration (M.H.A.),83,immunology,online,FT
Monica Thomas,Doctor of Osteopathic Medicine (D.O.),82,nursing,on-campus,
Carla Mora,Doctor of Podiatric Medicine (D.P.M.),76,dentistry,on-campus,
Andrew Holland,Doctor of Pharmacy (Pharm.D.),92,physiotherapy,,
Noah Hunter,Doctor of Veterinary Medicine (D.V.M.),79,nursing,,
Paul Cameron,Doctor of Dental Medicine (D.M.D.),93,dentistry,online,PT
Stephen Rodriguez,Doctor of Dental Surgery (D.D.S.),82,physiotherapy,,FT
Taylor Jackson,Doctor of Optometry (O.D.),90,nursing,,PT
Michael Dominguez,Doctor of Dental Surgery (D.D.S.),83,physiotherapy,online,PT
Gregory Steele,Master of Public Health (M.P.H.),85,nutrition,,FT
Steven Dean,Doctor of Medicine (M.D.),51,surgery,on-campus,
Jessica Bennett,Bachelor of Science in Nursing (B.S.N.),99,physiotherapy,online,FT
Matthew Wilson,Doctor of Osteopathic Medicine (D.O.),57,immunology,on-campus,FT
Shawn Pierce,Bachelor of Science in Nursing (B.S.N.),84,nursing,online,FT
Robert Medina,Doctor of Dental Medicine (D.M.D.),91,immunology,online,PT
Troy Rivera,Master of Public Health (M.P.H.),94,,,FT
Mr. Gabriel Robles IV,Doctor of Veterinary Medicine (D.V.M.),59,nursing,,FT
David Hudson,Master of Public Health (M.P.H.),55,nursing,online,
John Mckinney,Doctor of Optometry (O.D.),70,nursing,,FT
Sylvia Green,Doctor of Dental Medicine (D.M.D.),53,immunology,online,FT
Robin Harris,Doctor of Dental Surgery (D.D.S.),97,physiotherapy,on-campus,
Mandy Berry,Bachelor of Science in Nursing (B.S.N.),81,nutrition,,FT
Angela Cole,Doctor of Podiatric Medicine (D.P.M.),79,nutrition,,FT
Dana Allen,Doctor of Veterinary Medicine (D.V.M.),98,immunology,online,
Melinda Robbins,Doctor of Osteopathic Medicine (D.O.),94,nursing,,PT
Destiny Neal,Doctor of Physical Therapy (D.P.T.),67,dentistry,online,FT
Jack Clark,Doctor of Dental Medicine (D.M.D.),93,dentistry,on-campus,
Allen Foster,Doctor of Physical Therapy (D.P.T.),94,immunology,,PT
Ricardo Thompson,Doctor of Podiatric Medicine (D.P.M.),81,physiotherapy,online,FT
Nancy Morales,Doctor of Medicine (M.D.),97,,,FT
Stacey King,Doctor of Physical Therapy (D.P.T.),95,physiotherapy,on-campus,FT
Donna Contreras,Doctor of Optometry (O.D.),78,nursing,,FT
Sherry Gonzales,Doctor of Physical Therapy (D.P.T.),62,physiotherapy,,
Adriana Brown,Bachelor of Science in Nursing (B.S.N.),78,physiotherapy,on-campus,FT
Alexis Williams,Doctor of Physical Therapy (D.P.T.),93,nutrition,on-campus,
Russell Stephens,Bachelor of Science in Nursing (B.S.N.),72,immunology,online,FT
William Hodges,Bachelor of Science in Biomedical Science (B.S.),92,dentistry,,PT
Kimberly Ward,Doctor of Medicine (M.D.),70,physiotherapy,on-campus,PT
Christopher Perry,Doctor of Dental Medicine (D.M.D.),52,surgery,,
Ryan Gamble,Doctor of Pharmacy (Pharm.D.),71,dentistry,on-campus,FT
Ryan Bennett,Doctor of Optometry (O.D.),70,physiotherapy,on-campus,
Brian Cooper,Doctor of Physical Therapy (D.P.T.),66,dentistry,,FT
Julie Rodriguez,Doctor of Veterinary Medicine (D.V.M.),65,nutrition,online,PT
Jose Coleman,Doctor of Medicine (M.D.),87,physiotherapy,,PT
Tracy Allen,Master of Public Health (M.P.H.),55,surgery,on-campus,PT
Justin Jones,Doctor of Veterinary Medicine (D.V.M.),64,nursing,online,PT
Brittany Grant,Doctor of Podiatric Medicine (D.P.M.),96,nursing,on-campus,FT
Robert Fuentes,Doctor of Medicine (M.D.),94,nursing,online,PT
Kelly Riley,Doctor of Podiatric Medicine (D.P.M.),97,nursing,on-campus,PT
Christopher Davila,Doctor of Dental Surgery (D.D.S.),68,nursing,on-campus,FT
Sarah Sharp,Doctor of Osteopathic Medicine (D.O.),76,physiotherapy,on-campus,FT
Paul Marshall,Doctor of Medicine (M.D.),78,surgery,,FT
Catherine Dorsey,Doctor of Dental Medicine (D.M.D.),74,physiotherapy,on-campus,
Kimberly Willis,Bachelor of Science in Nursing (B.S.N.),89,nutrition,on-campus,PT
Joshua Ellis,Doctor of Dental Medicine (D.M.D.),86,physiotherapy,,PT
Daniel Padilla,Master of Health Administration (M.H.A.),86,,on-campus,PT
Paul Erickson,Doctor of Podiatric Medicine (D.P.M.),85,surgery,on-campus,PT
Valerie Green,Doctor of Nursing Practice (D.N.P.),86,,on-campus,
Alejandra Simmons,Doctor of Dental Surgery (D.D.S.),78,dentistry,on-campus,FT
Michael Small,Master of Health Administration (M.H.A.),56,nutrition,,FT
Joseph Shaffer,Master of Health Administration (M.H.A.),89,surgery,online,FT
David Diaz MD,Doctor of Chiropractic (D.C.),92,physiotherapy,on-campus,PT
Andrew Carlson,Master of Public Health (M.P.H.),69,nutrition,,
David Rowland DDS,Doctor of Pharmacy (Pharm.D.),98,nursing,on-campus,FT
Tiffany Jordan,Doctor of Veterinary Medicine (D.V.M.),100,nutrition,,
David Young,Doctor of Chiropractic (D.C.),61,nutrition,online,PT
Ms. Karen Garcia PhD,Bachelor of Science in Nursing (B.S.N.),65,nutrition,,PT
Kristy Mejia,Doctor of Veterinary Medicine (D.V.M.),63,physiotherapy,online,PT
Gwendolyn Williams,Doctor of Osteopathic Medicine (D.O.),82,dentistry,online,
Andrea Brewer,Doctor of Chiropractic (D.C.),57,immunology,on-campus,FT
Donna Tapia,Doctor of Optometry (O.D.),98,nursing,online,PT
Lindsey Schultz,Doctor of Medicine (M.D.),88,physiotherapy,,FT
Matthew Smith,Doctor of Pharmacy (Pharm.D.),94,dentistry,,
Michael Walker,Doctor of Physical Therapy (D.P.T.),66,surgery,online,
Andrea Owens,Bachelor of Science in Biomedical Science (B.S.),59,surgery,on-campus,PT
Stephanie Moore,Doctor of Veterinary Medicine (D.V.M.),86,nutrition,,FT
Kenneth Stokes,Doctor of Pharmacy (Pharm.D.),93,nursing,,
Gregory Proctor,Doctor of Medicine (M.D.),77,physiotherapy,online,
Alexander Cardenas,Bachelor of Science in Nursing (B.S.N.),52,physiotherapy,on-campus,PT
Kimberly Hood,Doctor of Medicine (M.D.),89,nursing,online,PT
Martha Contreras,Master of Health Administration (M.H.A.),76,,,
Makayla Duncan,Doctor of Physical Therapy (D.P.T.),72,immunology,online,FT
Daniel Benitez,Doctor of Optometry (O.D.),81,immunology,online,PT
Katelyn Smith,Doctor of Physical Therapy (D.P.T.),50,nutrition,on-campus,FT
Marissa Williams,Doctor of Medicine (M.D.),55,nutrition,online,PT
Laura Kennedy,Doctor of Dental Medicine (D.M.D.),89,physiotherapy,on-campus,
Sarah Kelley,Master of Public Health (M.P.H.),64,surgery,online,FT
Jonathan Jones,Doctor of Chiropractic (D.C.),57,physiotherapy,,
Bethany Clark,Doctor of Veterinary Medicine (D.V.M.),57,,online,FT
Frederick Ortiz,Doctor of Nursing Practice (D.N.P.),82,dentistry,on-campus,PT
Paul Dougherty,Doctor of Pharmacy (Pharm.D.),100,immunology,,PT
Misty Sanchez,Doctor of Chiropractic (D.C.),58,nutrition,,PT
Rhonda Bowers,Doctor of Chiropractic (D.C.),72,dentistry,,PT
Amy Davis,Bachelor of Science in Biomedical Science (B.S.),78,physiotherapy,on-campus,PT
Erika Johnson,Doctor of Nursing Practice (D.N.P.),52,nursing,on-campus,PT
Susan Smith,Doctor of Nursing Practice (D.N.P.),68,physiotherapy,,FT
Kristin Thompson,Doctor of Chiropractic (D.C.),58,,on-campus,PT
Joshua Lewis,Doctor of Osteopathic Medicine (D.O.),97,,on-campus,FT
Donald Watson,Doctor of Optometry (O.D.),76,immunology,online,FT
Jennifer Kramer,Doctor of Optometry (O.D.),79,dentistry,,PT
Terry Stewart,Doctor of Physical Therapy (D.P.T.),73,nursing,,FT
Robert Monroe,Bachelor of Science in Biomedical Science (B.S.),51,immunology,,
Gregory Cummings,Master of Public Health (M.P.H.),70,surgery,,
Stephen Briggs,Bachelor of Science in Nursing (B.S.N.),71,nursing,on-campus,FT
Jessica Mcdaniel,Master of Health Administration (M.H.A.),85,physiotherapy,,PT
Dustin Jennings,Doctor of Physical Therapy (D.P.T.),97,nutrition,on-campus,FT
Stacy Anderson,Doctor of Nursing Practice (D.N.P.),85,dentistry,,
Zachary Anderson,Doctor of Optometry (O.D.),69,nutrition,on-campus,
Amber Black,Doctor of Osteopathic Medicine (D.O.),94,dentistry,on-campus,PT
Marc Taylor,Doctor of Podiatric Medicine (D.P.M.),65,nursing,,FT
John King,Bachelor of Science in Biomedical Science (B.S.),59,nutrition,,
James Griffin,Bachelor of Science in Biomedical Science (B.S.),77,physiotherapy,online,
Robert Hudson,Doctor of Pharmacy (Pharm.D.),77,,on-campus,PT
Jason Franklin,Doctor of Optometry (O.D.),66,surgery,,
Cindy Chen,Doctor of Podiatric Medicine (D.P.M.),74,,,PT
Sherry Ramsey,Doctor of Pharmacy (Pharm.D.),58,nutrition,online,PT
Angela Roberts,Doctor of Optometry (O.D.),72,physiotherapy,,PT
Terry Hall,Bachelor of Science in Biomedical Science (B.S.),88,physiotherapy,on-campus,PT
Jamie Mack,Doctor of Podiatric Medicine (D.P.M.),80,nutrition,,PT
Ronald Adams,Doctor of Dental Medicine (D.M.D.),68,physiotherapy,,
Jesse Flores,Doctor of Medicine (M.D.),91,immunology,on-campus,FT
Roy Phillips,Doctor of Medicine (M.D.),65,surgery,,FT
Jacob Duffy,Doctor of Nursing Practice (D.N.P.),94,nutrition,,PT
Yolanda Small,Doctor of Optometry (O.D.),78,nutrition,on-campus,FT
Lisa Bentley,Doctor of Veterinary Medicine (D.V.M.),63,surgery,on-campus,FT
Jonathan Robinson,Doctor of Pharmacy (Pharm.D.),77,dentistry,on-campus,PT
Julie Herrera,Doctor of Nursing Practice (D.N.P.),54,physiotherapy,on-campus,FT
Kathryn King,Doctor of Physical Therapy (D.P.T.),80,physiotherapy,on-campus,FT
James Pham,Master of Health Administration (M.H.A.),85,nutrition,on-campus,FT
Michael Fischer,Doctor of Pharmacy (Pharm.D.),63,dentistry,,PT
James Green,Doctor of Pharmacy (Pharm.D.),83,dentistry,,PT
Sharon Morgan,Doctor of Nursing Practice (D.N.P.),98,surgery,online,PT
Perry Walker,Doctor of Dental Surgery (D.D.S.),92,,,
Richard Carlson,Doctor of Podiatric Medicine (D.P.M.),70,surgery,on-campus,FT
Ryan Smith,Master of Public Health (M.P.H.),64,surgery,online,
William Meyer,Doctor of Chiropractic (D.C.),99,nutrition,,PT
Jerome Bailey,Doctor of Medicine (M.D.),77,surgery,,PT
Christina Rivera,Bachelor of Science in Biomedical Science (B.S.),50,,,PT
Hannah Smith,Doctor of Optometry (O.D.),79,nursing,on-campus,PT
Lisa Russell,Bachelor of Science in Nursing (B.S.N.),57,nursing,online,PT
Maria Rhodes,Bachelor of Science in Biomedical Science (B.S.),61,immunology,,
John Smith,Doctor of Optometry (O.D.),93,dentistry,online,
Lonnie Taylor,Bachelor of Science in Nursing (B.S.N.),81,nursing,online,
Kathleen Bryant,Doctor of Chiropractic (D.C.),69,nutrition,,FT
Alexandra Moore,Doctor of Optometry (O.D.),71,nursing,online,PT
Adriana Gonzalez,Master of Public Health (M.P.H.),89,dentistry,,FT
Randy Hernandez,Doctor of Dental Medicine (D.M.D.),81,nursing,online,FT
Jared Mckee,Doctor of Optometry (O.D.),62,physiotherapy,online,FT
Alexis Callahan,Doctor of Podiatric Medicine (D.P.M.),62,nursing,on-campus,FT
Elizabeth Klein,Doctor of Veterinary Medicine (D.V.M.),100,,on-campus,PT
Jessica Webb,Doctor of Pharmacy (Pharm.D.),81,nursing,,FT
Tina Gutierrez,Doctor of Podiatric Medicine (D.P.M.),94,nursing,,PT
Brendan Wang,Doctor of Pharmacy (Pharm.D.),87,nutrition,on-campus,FT
Daniel Murphy,Bachelor of Science in Biomedical Science (B.S.),67,dentistry,online,PT
Michael Padilla,Doctor of Medicine (M.D.),89,surgery,on-campus,FT
Joe Drake,Bachelor of Science in Biomedical Science (B.S.),92,nutrition,online,FT
Audrey Torres,Doctor of Dental Medicine (D.M.D.),88,,,FT
Alexandria Bowen,Doctor of Chiropractic (D.C.),92,physiotherapy,,FT
Kevin Kemp,Doctor of Physical Therapy (D.P.T.),63,surgery,on-campus,FT
Judith Duarte,Doctor of Osteopathic Medicine (D.O.),54,,online,PT
Michael Conway Jr.,Bachelor of Science in Biomedical Science (B.S.),83,nursing,online,PT
Erika Flores,Doctor of Medicine (M.D.),75,nursing,online,PT
Kyle Gonzalez,Doctor of Pharmacy (Pharm.D.),88,physiotherapy,online,PT
Brett Henderson,Doctor of Podiatric Medicine (D.P.M.),69,immunology,,FT
Robert Vargas,Bachelor of Science in Nursing (B.S.N.),82,surgery,on-campus,FT
Taylor Finley,Doctor of Chiropractic (D.C.),76,,,PT
Eric Chang,Doctor of Chiropractic (D.C.),89,nutrition,on-campus,PT
Dawn Robertson,Master of Health Administration (M.H.A.),68,physiotherapy,on-campus,PT
Jenna Allen,Master of Public Health (M.P.H.),56,,on-campus,
Regina Cummings,Doctor of Medicine (M.D.),68,immunology,on-campus,FT
John Richardson,Doctor of Osteopathic Medicine (D.O.),59,dentistry,on-campus,PT
John Walker,Bachelor of Science in Biomedical Science (B.S.),69,dentistry,,FT
Gregg Thomas,Doctor of Dental Surgery (D.D.S.),60,physiotherapy,on-campus,FT
Ashley Sparks,Master of Health Administration (M.H.A.),64,nutrition,on-campus,PT
Cory Freeman,Doctor of Physical Therapy (D.P.T.),78,physiotherapy,on-campus,PT
Alexander Walters,Bachelor of Science in Biomedical Science (B.S.),99,,on-campus,PT
Melissa Jenkins,Doctor of Podiatric Medicine (D.P.M.),59,dentistry,online,PT
Susan Drake,Doctor of Dental Surgery (D.D.S.),92,,,PT
William Garcia,Doctor of Optometry (O.D.),70,dentistry,online,FT
Kyle Gray,Master of Health Administration (M.H.A.),93,surgery,,FT
Kelli Pitts DVM,Doctor of Physical Therapy (D.P.T.),88,surgery,online,
Mary Cruz,Doctor of Medicine (M.D.),69,physiotherapy,,PT
Robert Norton,Master of Public Health (M.P.H.),80,dentistry,,
Mrs. Alexis Butler,Doctor of Dental Medicine (D.M.D.),74,physiotherapy,on-campus,FT
Victoria West,Doctor of Dental Medicine (D.M.D.),75,nutrition,,
Bobby Lopez,Master of Public Health (M.P.H.),65,surgery,online,PT
Joshua Mack,Doctor of Physical Therapy (D.P.T.),69,immunology,,FT
Dawn Myers,Doctor of Osteopathic Medicine (D.O.),70,surgery,online,FT
Zachary Hunt,Doctor of Chiropractic (D.C.),61,dentistry,on-campus,FT
